BW,chunkSize,ThreadPerBlock
98.298125,196608,32
98.476969,196608,64
98.471937,196608,128
98.771964,196608,256
98.809710,196608,512
98.094617,393216,32
98.356123,393216,64
98.272726,393216,128
98.352275,393216,256
98.597220,393216,512
99.568716,786432,32
97.433212,786432,64
97.445612,786432,128
97.320645,786432,256
97.299819,786432,512
99.479499,1572864,32
96.810562,1572864,64
96.731042,1572864,128
96.881708,1572864,256
97.112264,1572864,512
99.397346,3145728,32
96.463151,3145728,64
96.520976,3145728,128
96.737788,3145728,256
96.875000,3145728,512
98.985452,6291456,32
95.966649,6291456,64
95.875826,6291456,128
96.052851,6291456,256
96.176761,6291456,512
96.752119,12582912,32
93.572264,12582912,64
93.712624,12582912,128
94.064245,12582912,256
94.047199,12582912,512
94.636763,25165824,32
91.500316,25165824,64
91.522908,25165824,128
91.806374,25165824,256
91.805041,25165824,512
89.830504,50331648,32
87.059400,50331648,64
87.090239,50331648,128
87.308268,50331648,256
87.540733,50331648,512
82.036191,100663296,32
79.442018,100663296,64
79.577598,100663296,128
79.592236,100663296,256
79.836407,100663296,512
83.261964,1572864,32
83.227279,1572864,32
99.389361,1572864,32
99.312548,1572864,32
